Car,price,details,post_date,mileage,enginetype,city,year,car,engine
"GAZ (ГАЗ), 2.3 լ, 1996 թ., գազ","$3,100 ","Մալաթիա Սեբաստիա, 1996 թ., 73,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",ա Սեբաստի,1996 ,Մալա,,GAZ (ГАЗ),2.3 
"Nissan Sentra, 1.8 լ, 2017 թ.","$13,300 Դիլեր","Նոյեմբերյան, 2017 թ., 109,520 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",", 109,520 կ",Բենզին,Նոյեմբերյան,2017 ,Nissan Sentra,1.8 
"Infiniti Q50, 3.0 լ, լիաքարշ, 2019 թ.","$25,500 ","Արտաշատ, 2019 թ., 40,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",", 40,000 կ",Բենզին,Արտաշատ,2019 ,Infiniti Q50,3.0 
"VAZ (Lada) 2107, 1.6 լ, 2008 թ.","$3,900 Դիլեր","Ավան, 2008 թ., 63,600 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",", 63,600 կ",Բենզին,Ավան,2008 ,VAZ (Lada) 2107,1.6 
"Chevrolet Volt, 1.4 լ, հիբրիդ, 2012 թ.","$10,200 ","Աջափնյակ, 2012 թ., 197,000 մղոն, Հիբրիդ","Կիրակի, Ապրիլ 14, 2024 21:12",", 197,000 մղո",Հիբրիդ,Աջափնյակ,2012 ,Chevrolet Volt,1.4 
"UAZ (УАЗ) 31512, 2.7 լ, լիաքարշ, 2005 թ.","2,200,000 ֏ Դիլեր","Նոյեմբերյան, 2005 թ., 65,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",", 65,000 կ",Բենզին,Նոյեմբերյան,2005 ,UAZ (УАЗ) 31512,2.7 
"UAZ (УАЗ) 2206, 2.7 լ, լիաքարշ, 1997 թ., գազ","$3,200 Դիլեր","Նոյեմբերյան, 1997 թ., 120,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",", 120,000 կ",Բենզին,Նոյեմբերյան,1997 ,UAZ (УАЗ) 2206,2.7 
"BMW X3, 3.0 լ, լիաքարշ, 2004 թ., գազ","$7,800 ","Կենտրոն, 2004 թ., 330,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",", 330,000 կ",Բենզին,Կենտրոն,2004 ,BMW X3,3.0 
"Mercedes-Benz GLE-Class, 2.0 լ, լիաքարշ, 2019 թ.","$65,000 ","Կենտրոն, 2019 թ., 54,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:12",", 54,000 կ",Բենզին,Կենտրոն,2019 ,Mercedes-Benz GLE-Class,2.0 
"Mercedes-Benz C-Class կուպե, 1.8 լ, 2012 թ.","$15,800 ","Ճանապարհին, 2012 թ., 220,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 220,000 կ",Բենզին,Ճանապարհին,2012 ,Mercedes-Benz C-Class կուպե,1.8 
"Ford Transit, 2.5 լ, դիզել, 2012 թ.","$14,600 ","Գավառ, 2012 թ., 300,000 կմ, Դիզել","Կիրակի, Ապրիլ 14, 2024 21:11",", 300,000 կ",Դիզել,Գավառ,2012 ,Ford Transit,2.5 
"Toyota C-HR, 2.0 լ, 2021 թ.","$24,000 ","Էջմիածին, 2021 թ., 17,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 17,000 մղո",Բենզին,Էջմիածին,2021 ,Toyota C-HR,2.0 
"Hyundai Elantra, 1.8 լ, 2012 թ., գազ","$10,200 ","Եղեգնաձոր, 2012 թ., 164,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 164,000 կ",Բենզին,Եղեգնաձոր,2012 ,Hyundai Elantra,1.8 
"BMW X5, 3.0 լ, լիաքարշ, 2019 թ.","$75,000 ","Մալաթիա Սեբաստիա, 2019 թ., 69,998 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",ա Սեբաստի,2019 ,Մալա,,BMW X5,3.0 
"Hyundai Tucson, 2.0 լ, լիաքարշ, 2017 թ.","$17,500 ","Արաբկիր, 2017 թ., 65,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 65,000 մղո",Բենզին,Արաբկիր,2017 ,Hyundai Tucson,2.0 
"Ford Focus, 2.0 լ, 2017 թ.","$11,000 ","Արաբկիր, 2017 թ., 31,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 31,000 մղո",Բենզին,Արաբկիր,2017 ,Ford Focus,2.0 
"Hyundai Kona, 2.0 լ, լիաքարշ, 2019 թ., գազ","$19,700 ","Արաբկիր, 2019 թ., 65,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 65,000 մղո",Բենզին,Արաբկիր,2019 ,Hyundai Kona,2.0 
"Chevrolet Niva, 1.8 լ, լիաքարշ, 2010 թ.","$6,500 ","Գառնի, 2010 թ., 110,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 110,000 կ",Բենզին,Գառնի,2010 ,Chevrolet Niva,1.8 
"Hyundai Elantra, 2.0 լ, 2018 թ.","$13,900 ","Գյումրի, 2018 թ., 100,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 100,000 կ",Բենզին,Գյումրի,2018 ,Hyundai Elantra,2.0 
"Mercedes-Benz E-Class, 3.5 լ, 2005 թ.","$10,500 ","Չարենցավան, 2005 թ., 200,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 200,000 կ",Բենզին,Չարենցավան,2005 ,Mercedes-Benz E-Class,3.5 
"VAZ (Lada) 2107, 1.7 լ, 2005 թ., գազ","$4,800 ","Չարենցավան, 2005 թ., 100,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 100,000 կ",Բենզին,Չարենցավան,2005 ,VAZ (Lada) 2107,1.7 
"Mercedes-Benz E-Class, 3.2 լ, 1997 թ., գազ","$5,500 ","Գառնի, 1997 թ., 180,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 180,000 կ",Բենզին,Գառնի,1997 ,Mercedes-Benz E-Class,3.2 
"Chevrolet Volt հետչբեք, 1.4 լ, հիբրիդ, 2012 թ.","$10,000 ","Աջափնյակ, 2012 թ., 150,000 կմ, Հիբրիդ","Կիրակի, Ապրիլ 14, 2024 21:11",", 150,000 կ",Հիբրիդ,Աջափնյակ,2012 ,Chevrolet Volt հետչբեք,1.4 
"Mercedes-Benz C-Class, 2.0 լ, 2001 թ., գազ","$4,500 ","Ավան, 2001 թ., 300,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:11",", 300,000 կ",Բենզին,Ավան,2001 ,Mercedes-Benz C-Class,2.0 
"Mazda CX-5, 2.5 լ, լիաքարշ, 2018 թ.","$28,500 ","Դավիթաշեն, 2018 թ., 52,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10",շե,2018 ,Դավի,,Mazda CX-5,2.5 
"Toyota RAV4, 2.5 լ, լիաքարշ, 2022 թ.","$31,800 Դիլեր","Շենգավիթ, 2022 թ., 16,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10", 2022 ,,Շենգավի,,Toyota RAV4,2.5 
"Toyota Corolla, 1.6 լ, 2017 թ., գազ","$17,700 Դիլեր","Շենգավիթ, 2017 թ., 100,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10", 2017 ,,Շենգավի,,Toyota Corolla,1.6 
"Chevrolet Volt, 1.4 լ, հիբրիդ, 2014 թ.","$12,000 Դիլեր","Շենգավիթ, 2014 թ., 185,000 կմ, Հիբրիդ","Կիրակի, Ապրիլ 14, 2024 21:10", 2014 ,,Շենգավի,,Chevrolet Volt,1.4 
"Mercedes-Benz S-Class, 5.0 լ, 2009 թ.","$18,500 Դիլեր","Շենգավիթ, 2009 թ., 180,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10", 2009 ,,Շենգավի,,Mercedes-Benz S-Class,5.0 
"Nissan Rogue, 2.5 լ, լիաքարշ, 2018 թ.","$16,000 ","Շենգավիթ, 2018 թ., 48,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10", 2018 ,,Շենգավի,,Nissan Rogue,2.5 
"Mazda CX-9, 3.7 լ, լիաքարշ, 2008 թ., գազ","$10,500 ","Արաբկիր, 2008 թ., 170,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10",", 170,000 մղո",Բենզին,Արաբկիր,2008 ,Mazda CX-9,3.7 
"VAZ (Lada) 2107, 1.7 լ, 2007 թ., գազ","$3,300 ","Վեդի, 2007 թ., 100,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10",", 100,000 կ",Բենզին,Վեդի,2007 ,VAZ (Lada) 2107,1.7 
"Mercedes-Benz C-Class, 2.6 լ, լիաքարշ, 2005 թ., գազ","$6,500 ","Ճամբարակ, 2005 թ., 247,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10",", 247,000 կ",Բենզին,Ճամբարակ,2005 ,Mercedes-Benz C-Class,2.6 
"Mercedes-Benz B-Class հետչբեք, 2.0 լ, 2010 թ., գազ","$9,200 ","Մալաթիա Սեբաստիա, 2010 թ., 146,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:10",ա Սեբաստի,2010 ,Մալա,,Mercedes-Benz B-Class հետչբեք,2.0 
"Mercedes-Benz CLA-Class, 2.0 լ, 2015 թ.","$22,000 ","Չարենցավան, 2015 թ., 150,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:09",", 150,000 կ",Բենզին,Չարենցավան,2015 ,Mercedes-Benz CLA-Class,2.0 
"Mercedes-Benz E-Class, 2.0 լ, 2016 թ.","$33,000 Դիլեր","Աջափնյակ, 2016 թ., 183,700 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:09",", 183,700 կ",Բենզին,Աջափնյակ,2016 ,Mercedes-Benz E-Class,2.0 
"GMC Sierra փիքափ, 4.8 լ, լիաքարշ, 2007 թ.","$32,500 Դիլեր","Աջափնյակ, 2007 թ., 128,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:09",", 128,000 կ",Բենզին,Աջափնյակ,2007 ,GMC Sierra փիքափ,4.8 
"Kia Soul EV հետչբեք, էլեկտրական, 2017 թ.","$18,500 Դիլեր","Աջափնյակ, 2017 թ., 31,000 կմ, էլեկտրական","Կիրակի, Ապրիլ 14, 2024 21:09",", 31,000 կ",էլեկտրական,Աջափնյակ,2017 ,Kia Soul EV հետչբեք,էլեկտրական
"BMW 3 Series, 1.8 լ, 2002 թ., գազ","1,550,000 ֏ ","Աջափնյակ, 2002 թ., 250,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:09",", 250,000 կ",Բենզին,Աջափնյակ,2002 ,BMW 3 Series,1.8 
"Volkswagen ID.4, էլեկտրական, 2022 թ.","$26,900 ","Աջափնյակ, 2022 թ., 30,000 կմ, էլեկտրական","Կիրակի, Ապրիլ 14, 2024 21:09",", 30,000 կ",էլեկտրական,Աջափնյակ,2022 ,Volkswagen ID.4,էլեկտրական
"Lexus GX, 4.6 լ, լիաքարշ, 2020 թ.","$73,000 ","Աջափնյակ, 2020 թ., 32,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:09",", 32,000 մղո",Բենզին,Աջափնյակ,2020 ,Lexus GX,4.6 
"Mazda 3, 2.0 լ, 2010 թ., գազ","$7,000 ","Նոր Նորք, 2010 թ., 170,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:09",", 170,000 կ",Բենզին,Նոր Նորք,2010 ,Mazda 3,2.0 
"Mazda 3, 2.5 լ, 2019 թ.","$15,500 ","Շենգավիթ, 2019 թ., 110,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:09", 2019 ,,Շենգավի,,Mazda 3,2.5 
"Honda Accord, 2.0 լ, 2020 թ.","$29,000 Դիլեր","Նոր Նորք, 2020 թ., 14,500 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 14,500 մղո",Բենզին,Նոր Նորք,2020 ,Honda Accord,2.0 
"Mazda CX-9, 2.5 լ, լիաքարշ, 2022 թ.","$41,000 Դիլեր","Նոր Նորք, 2022 թ., 5500 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 5500 մղո",Բենզին,Նոր Նորք,2022 ,Mazda CX-9,2.5 
"Mazda CX-9, 2.5 լ, լիաքարշ, 2019 թ.","$25,000 Դիլեր","Նոր Նորք, 2019 թ., 59,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 59,000 մղո",Բենզին,Նոր Նորք,2019 ,Mazda CX-9,2.5 
"Volkswagen Tiguan, 2.0 լ, 2011 թ.","$11,000 ","Աշտարակ, 2011 թ., 213,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 213,000 կ",Բենզին,Աշտարակ,2011 ,Volkswagen Tiguan,2.0 
"Chevrolet Malibu, 1.5 լ, 2019 թ.","$13,400 ","Առինջ, 2019 թ., 163,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 163,000 կ",Բենզին,Առինջ,2019 ,Chevrolet Malibu,1.5 
"Kia Forte, 2.0 լ, 2012 թ., գազ","$9,000 Դիլեր","Նոր Նորք, 2012 թ., 112,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 112,000 մղո",Բենզին,Նոր Նորք,2012 ,Kia Forte,2.0 
"Hyundai Kona, 2.0 լ, լիաքարշ, 2018 թ.","$14,500 Դիլեր","Նոր Նորք, 2018 թ., 31,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 31,000 մղո",Բենզին,Նոր Նորք,2018 ,Hyundai Kona,2.0 
"Nissan Rogue, 2.5 լ, լիաքարշ, 2019 թ.","$17,500 Դիլեր","Նոր Նորք, 2019 թ., 31,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 31,000 մղո",Բենզին,Նոր Նորք,2019 ,Nissan Rogue,2.5 
"Jeep Compass, 2.4 լ, լիաքարշ, 2018 թ.","$19,900 ","Կենտրոն, 2018 թ., 90,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 90,000 կ",Բենզին,Կենտրոն,2018 ,Jeep Compass,2.4 
"Chevrolet Malibu, 1.5 լ, 2018 թ.","$13,200 ","Նոր Նորք, 2018 թ., 66,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 66,000 մղո",Բենզին,Նոր Նորք,2018 ,Chevrolet Malibu,1.5 
"Jeep Compass, 2.4 լ, լիաքարշ, 2017 թ., գազ","$18,500 ","Էջմիածին, 2017 թ., 90,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 90,000 կ",Բենզին,Էջմիածին,2017 ,Jeep Compass,2.4 
"VAZ (Lada) 2105, 1.6 լ, 2010 թ., գազ","$2,200 ","Կենտրոն, 2010 թ., 80,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 80,000 կ",Բենզին,Կենտրոն,2010 ,VAZ (Lada) 2105,1.6 
"Ford Transit Connect, 2.0 լ, 2020 թ.","$18,000 ","Նոր Նորք, 2020 թ., 48,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 48,000 մղո",Բենզին,Նոր Նորք,2020 ,Ford Transit Connect,2.0 
"Jeep Grand Cherokee, 3.7 լ, լիաքարշ, 2010 թ., գազ","$9,500 Շտապ","Աջափնյակ, 2010 թ., 290,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 290,000 կ",Բենզին,Աջափնյակ,2010 ,Jeep Grand Cherokee,3.7 
"Toyota Highlander, 2.5 լ, 2023 թ.","$60,000 ","Նոր Նորք, 2023 թ., 6000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 6000 մղո",Բենզին,Նոր Նորք,2023 ,Toyota Highlander,2.5 
"Volkswagen Passat, 2.0 լ, 2006 թ.","$6,000 ","Աբովյան, 2006 թ., 230,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 230,000 կ",Բենզին,Աբովյան,2006 ,Volkswagen Passat,2.0 
"Toyota Camry, 2.5 լ, 2010 թ., գազ","$12,000 ","Աջափնյակ, 2010 թ., 150,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 150,000 մղո",Բենզին,Աջափնյակ,2010 ,Toyota Camry,2.5 
"Mercedes-Benz CLA-Class, 2.0 լ, լիաքարշ, 2016 թ.","$22,900 ","Աջափնյակ, 2016 թ., 70,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 70,000 մղո",Բենզին,Աջափնյակ,2016 ,Mercedes-Benz CLA-Class,2.0 
"VAZ (Lada) Niva, 1.7 լ, լիաքարշ, 2024 թ.","1,550,000 ₽ ","Էջմիածին, 2024 թ., 20 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:08",", 20 կ",Բենզին,Էջմիածին,2024 ,VAZ (Lada) Niva,1.7 
"Ford Focus հետչբեք, 2.0 լ, 2017 թ.","$8,800 ","Էրեբունի, 2017 թ., 91,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 91,000 մղո",Բենզին,Էրեբունի,2017 ,Ford Focus հետչբեք,2.0 
"VAZ (Lada) 2111 ունիվերսալ, 1.6 լ, 2001 թ., գազ","$2,500 ","Էջմիածին, 2001 թ., 56,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 56,000 կ",Բենզին,Էջմիածին,2001 ,VAZ (Lada) 2111 ունիվերսա,
"Opel Astra, 1.6 լ, 1999 թ., գազ","$4,200 ","Էջմիածին, 1999 թ., 199,950 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 199,950 կ",Բենզին,Էջմիածին,1999 ,Opel Astra,1.6 
"Chevrolet Cruze, 1.4 լ, 2016 թ.","$10,700 ","Էրեբունի, 2016 թ., 51,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 51,000 մղո",Բենզին,Էրեբունի,2016 ,Chevrolet Cruze,1.4 
"Nissan Tiida, 1.5 լ, 2010 թ., գազ","$6,800 Դիլեր","Էրեբունի, 2010 թ., 179,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 179,000 կ",Բենզին,Էրեբունի,2010 ,Nissan Tiida,1.5 
"Kia K5, 1.6 լ, 2021 թ.","$29,000 ","Քանաքեռ Զեյթուն, 2021 թ., 52,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",ւ,2021 ,Քանաքեռ Զեյ,,Kia K5,1.6 
"Toyota Camry, 2.5 լ, 2012 թ., գազ","$14,500 ","Սևան, 2012 թ., 142,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 142,000 մղո",Բենզին,Սևան,2012 ,Toyota Camry,2.5 
"BMW X5, 4.8 լ, լիաքարշ, 2008 թ.","$17,000 ","Քանաքեռ Զեյթուն, 2008 թ., 220,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",ւ,2008 ,Քանաքեռ Զեյ,,BMW X5,4.8 
"Honda Torneo, 2.0 լ, 1999 թ.","$1,200 ","Նոր Նորք, 1999 թ., 130,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 130,000 կ",Բենզին,Նոր Նորք,1999 ,Honda Torneo,2.0 
"Kia Forte, 2.0 լ, 2019 թ., գազ","$16,500 ","Վեդի, 2019 թ., 57,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 57,000 մղո",Բենզին,Վեդի,2019 ,Kia Forte,2.0 
"BMW 3 Series, 2.0 լ, 1999 թ.","$4,000 ","Կապան, 1999 թ., 208,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 208,000 կ",Բենզին,Կապան,1999 ,BMW 3 Series,2.0 
"Mazda 6, 2.5 լ, 2019 թ.","$20,000 Շտապ!","Էրեբունի, 2019 թ., 67,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 67,000 մղո",Բենզին,Էրեբունի,2019 ,Mazda 6,2.5 
"Mercedes-Benz GLE, 3.5 լ, լիաքարշ, 2018 թ.","$45,000 ","Էրեբունի, 2018 թ., 100,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 100,000 կ",Բենզին,Էրեբունի,2018 ,Mercedes-Benz GLE,3.5 
"Chevrolet Cruze, 1.4 լ, 2016 թ.","$9,200 ","Էրեբունի, 2016 թ., 143,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 143,000 կ",Բենզին,Էրեբունի,2016 ,Chevrolet Cruze,1.4 
"Mitsubishi Outlander, 3.0 լ, լիաքարշ, 2006 թ., գազ","$8,000 ","Արտաշատ, 2006 թ., 210,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:07",", 210,000 մղո",Բենզին,Արտաշատ,2006 ,Mitsubishi Outlander,3.0 
"BMW 3 Series կուպե, 1.8 լ, 1988 թ., գազ","300,000 ֏ ","Արարատ, 1988 թ., 100,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 100,000 կ",Բենզին,Արարատ,1988 ,BMW 3 Series կուպե,1.8 
"Hyundai Sonata, 2.4 լ, 2017 թ.","$12,800 ","Շենգավիթ, 2017 թ., 99,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06", 2017 ,,Շենգավի,,Hyundai Sonata,2.4 
"Audi Q5, 2.0 լ, լիաքարշ, 2015 թ.","$23,000 ","Շենգավիթ, 2015 թ., 68,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06", 2015 ,,Շենգավի,,Audi Q5,2.0 
"Infiniti QX50, 2.0 լ, լիաքարշ, 2019 թ.","$32,000 ","Էրեբունի, 2019 թ., 20,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 20,000 մղո",Բենզին,Էրեբունի,2019 ,Infiniti QX50,2.0 
"Hyundai Sonata, 2.4 լ, 2014 թ.","$10,200 ","Կենտրոն, 2014 թ., 113,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 113,000 մղո",Բենզին,Կենտրոն,2014 ,Hyundai Sonata,2.4 
"BMW X7, 3.0 լ, լիաքարշ, 2020 թ.","$92,000 ","Էրեբունի, 2020 թ., 27,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 27,000 կ",Բենզին,Էրեբունի,2020 ,BMW X7,3.0 
"VAZ (Lada) 2115, 1.6 լ, 2004 թ., գազ","1,000,000 ֏ ","Հրազդան, 2004 թ., 300 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 300 կ",Բենզին,Հրազդան,2004 ,VAZ (Lada) 2115,1.6 
"Lexus RX, 3.5 լ, 2021 թ.","$60,000 ","Էրեբունի, 2021 թ., 1500 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 1500 մղո",Բենզին,Էրեբունի,2021 ,Lexus RX,3.5 
"BMW 5 Series, 2.5 լ, 1995 թ., գազ","$3,900 ","Ախթալա, 1995 թ., 240,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",լ,1995 ,Ախ,,BMW 5 Series,2.5 
"VAZ (Lada) Niva, 1.7 լ, լիաքարշ, 2020 թ., գազ","$11,300 ","Էրեբունի, 2020 թ., 42,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 42,000 կ",Բենզին,Էրեբունի,2020 ,VAZ (Lada) Niva,1.7 
"ZAZ (ЗАЗ) 965, 0.9 լ, 1965 թ.","250,000 ֏ ","Արարատ, 1965 թ., 10,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 10,000 կ",Բենզին,Արարատ,1965 ,ZAZ (ЗАЗ) 965,0.9 
"Kia Seltos, 1.6 լ, լիաքարշ, 2021 թ.","$27,000 ","Աբովյան, 2021 թ., 34,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 34,000 մղո",Բենզին,Աբովյան,2021 ,Kia Seltos,1.6 
"Hyundai Sonata, 2.4 լ, 2013 թ.","$10,000 ","Քանաքեռ Զեյթուն, 2013 թ., 170,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",ւ,2013 ,Քանաքեռ Զեյ,,Hyundai Sonata,2.4 
"Mercedes-Benz E-Class, 2.3 լ, 1990 թ., գազ","800,000 ֏ ","Արարատ, 1990 թ., 250,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 250,000 կ",Բենզին,Արարատ,1990 ,Mercedes-Benz E-Class,2.3 
"Mercedes-Benz Sprinter, 1.8 լ, 2016 թ., գազ","$28,500 ","Աբովյան, 2016 թ., 265,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 265,000 կ",Բենզին,Աբովյան,2016 ,Mercedes-Benz Sprinter,1.8 
"Kia Forte, 2.0 լ, 2019 թ.","1,900,000 ₽ ","Ռուսաստան, 2019 թ., 29,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 29,000 մղո",Բենզին,Ռուսաստան,2019 ,Kia Forte,2.0 
"Land Rover Range Rover Sport, 5.0 լ, լիաքարշ, 2011 թ.","$16,000 ","Աջափնյակ, 2011 թ., 179,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:06",", 179,000 կ",Բենզին,Աջափնյակ,2011 ,Land Rover Range Rover Sport,5.0 
"VAZ (Lada) 2121 Niva, 1.7 լ, լիաքարշ, 2006 թ., գազ","$4,000 ","Գյումրի, 2006 թ., 220,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:05",", 220,000 կ",Բենզին,Գյումրի,2006 ,VAZ (Lada) 2121 Niva,1.7 
"Toyota RAV4, 2.5 լ, լիաքարշ, 2018 թ.","$21,400 ","Սևան, 2018 թ., 31,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:05",", 31,000 մղո",Բենզին,Սևան,2018 ,Toyota RAV4,2.5 
"Toyota Camry, 2.5 լ, 2019 թ.","$18,500 Դիլեր","Քանաքեռ Զեյթուն, 2019 թ., 67,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:05",ւ,2019 ,Քանաքեռ Զեյ,,Toyota Camry,2.5 
"Infiniti QX4, 3.5 լ, լիաքարշ, 2002 թ., գազ","3,200,000 ֏ ","Դավիթաշեն, 2002 թ., 160,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:05",շե,2002 ,Դավի,,Infiniti QX4,3.5 
"Chevrolet Equinox, 2.4 լ, 2017 թ.","$11,500 ","Էջմիածին, 2017 թ., 155,000 մղոն, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:05",", 155,000 մղո",Բենզին,Էջմիածին,2017 ,Chevrolet Equinox,2.4 
"VAZ (Lada) Niva Legend, 1.7 լ, լիաքարշ, 2021 թ., գազ","$13,000 ","Չարենցավան, 2021 թ., 11,000 կմ, Բենզին","Կիրակի, Ապրիլ 14, 2024 21:05",", 11,000 կ",Բենզին,Չարենցավան,2021 ,VAZ (Lada) Niva Legend,1.7 
