Car,price,details,post_date
"Nissan Murano, 3.5 լ, լիաքարշ, 2018 թ., գազ","$25,000 ","Շենգավիթ, 2018 թ., 78,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Mercedes-Benz Viano, 3.7 լ, 2008 թ., գազ","$19,500 ","Արաբկիր, 2008 թ., 145,725 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Toyota Camry, 2.5 լ, 2018 թ.","$25,000 ","Շենգավիթ, 2018 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"VAZ (Lada) Niva, 1.7 լ, լիաքարշ, 2023 թ.","$13,950 ","Այգավան, 2023 թ., 13,800 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Opel Astra հետչբեք, 1.8 լ, 1998 թ.","$4,350 ","Աջափնյակ, 1998 թ., 299,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Mercedes-Benz C-Class, 1.8 լ, 1996 թ., գազ","$4,300 ","Աբովյան, 1996 թ., 268,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"BMW X1, 2.0 լ, 2018 թ.","$28,000 ","Չարենցավան, 2018 թ., 93,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Kia Optima, 2.4 լ, 2019 թ.","$16,800 Շտապ","Նոր Նորք, 2019 թ., 40,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Land Rover Freelander, 2.0 լ, լիաքարշ, 2001 թ., գազ","$3,500 ","Արարատ, 2001 թ., 178,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Lexus GX, 4.7 լ, լիաքարշ, 2005 թ., գազ","$23,500 ","Արաբկիր, 2005 թ., 186,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Opel Astra հետչբեք, 1.2 լ, 1998 թ., գազ","$3,500 ","Արթիկ, 1998 թ., 15,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"VAZ (Lada) 2329, 1.6 լ, 2011 թ., գազ","$2,700 ","Նոր Նորք, 2011 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"BMW 5 Series, 2.8 լ, 2009 թ., գազ","$9,000 ","Աբովյան, 2009 թ., 187,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:43"
"Toyota Corolla, 1.8 լ, 2018 թ.","$14,500 ","Աբովյան, 2018 թ., 72,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"Volkswagen Golf հետչբեք, 2.0 լ, 1998 թ., գազ","$3,600 ","Մասիս, 1998 թ., 370,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"Tesla Model S, էլեկտրական, 2014 թ.","$28,500 ","Աբովյան, 2014 թ., 138,000 մղոն, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"Lexus LX, 5.7 լ, լիաքարշ, 2011 թ., գազ","$55,000 ","Նոր Նորք, 2011 թ., 127,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"BMW 3 Series, 1.8 լ, 1993 թ., գազ","700,000 ֏ ","Մասիս, 1993 թ., 21,500 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"BMW 5 Series, 2.8 լ, 2007 թ., գազ","$10,000 ","Արմավիր, 2007 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"Mercedes-Benz C-Class, 1.8 լ, 1999 թ.","$5,500 ","Գյումրի, 1999 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"Kia Forte, 2.4 լ, 2010 թ., գազ","$9,700 ","Էջմիածին, 2010 թ., 130,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"Chevrolet Cruze, 1.4 լ, 2018 թ.","$11,000 ","Գյումրի, 2018 թ., 50,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:42"
"Kia K5, 1.6 լ, 2020 թ.","$25,500 ","Աջափնյակ, 2020 թ., 60,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"Ford Transit, 2.2 լ, դիզել, 2011 թ.","$20,500 ","Մարտունի, 2011 թ., 111,200 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"Toyota Land Cruiser Prado, 4.0 լ, լիաքարշ, 2008 թ.","$24,000 ","Ալավերդի, 2008 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"Jaguar XE, 2.0 լ, լիաքարշ, 2017 թ.","$21,000 ","Այնթապ, 2017 թ., 79,799 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"Mercedes-Benz C-Class, 1.8 լ, 1995 թ., գազ","$4,500 ","Աջափնյակ, 1995 թ., 218,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"Honda Civic, 2.0 լ, 2017 թ., գազ","$16,200 ","Արմավիր, 2017 թ., 120,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"BMW 3 Series, 1.8 լ, 2002 թ.","$5,800 ","Գյումրի, 2002 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"VAZ (Lada) 2121 Niva, 1.9 լ, լիաքարշ, 2017 թ., գազ","$8,900 ","Գավառ, 2017 թ., 67,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"Toyota Camry, 2.5 լ, 2022 թ.","$36,300 ","Աշտարակ, 2022 թ., 40,100 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:41"
"Mitsubishi Outlander, 2.0 լ, լիաքարշ, 2011 թ., գազ","$11,000 ","Կենտրոն, 2011 թ., 109,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Lexus RX, 3.3 լ, լիաքարշ, 2008 թ.","$15,000 ","Կենտրոն, 2008 թ., 185,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"BMW 5 Series, 2.0 լ, 2017 թ.","$35,000 ","Շենգավիթ, 2017 թ., 68,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Opel Vectra, 1.8 լ, 1992 թ., գազ","550,000 ֏ ","Արթիկ, 1992 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Changan Benni EC/EV հետչբեք, էլեկտրական, 2023 թ.","$10,800 ","Արաբկիր, 2023 թ., 20 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Honda e:NS1, էլեկտրական, 2023 թ.","$21,500 ","Քանաքեռ Զեյթուն, 2023 թ., 20 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"GAZ (ГАЗ) 3110 Volga, 2.1 լ, 1999 թ., գազ","850,000 ֏ ","Էջմիածին, 1999 թ., 345,817 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Mercedes-Benz CLS-Class, 3.5 լ, 2008 թ., գազ","$13,600 ","Մարմարաշեն, 2008 թ., 10,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"BMW X6, 4.4 լ, լիաքարշ, 2008 թ.","$20,000 ","Հրազդան, 2008 թ., 80,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Nissan Sentra, 1.8 լ, 2018 թ.","$9,900 ","Արմավիր, 2018 թ., 78,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Honda CR-V, 2.0 լ, լիաքարշ, 2000 թ., գազ","$4,000 ","Հրազդան, 2000 թ., 196,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Kia Optima, 2.4 լ, 2018 թ.","$19,200 ","Աբովյան, 2018 թ., 44,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Volkswagen Passat, 2.8 լ, լիաքարշ, 2000 թ.","$4,500 ","Նոր Նորք, 2000 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:40"
"Nissan Rogue, 2.5 լ, լիաքարշ, 2021 թ.","$31,500 ","Աշտարակ, 2021 թ., 12 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Chrysler 200, 2.4 լ, 2015 թ.","$11,700 ","Էրեբունի, 2015 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Lexus RX, 3.5 լ, լիաքարշ, 2010 թ., գազ","$22,000 ","Կենտրոն, 2010 թ., 132,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Mercedes-Benz ML, 3.5 լ, լիաքարշ, 2011 թ.","$18,500 ","Էրեբունի, 2011 թ., 75,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Mitsubishi Pajero, 3.0 լ, լիաքարշ, 1999 թ., գազ","4,000,000 ֏ ","Արմավիր, 1999 թ., 350,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"ErAZ 762, 2.0 լ, 1992 թ.","500,000 ֏ ","Շենգավիթ, 1992 թ., 120,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Mercedes-Benz G-Class, 5.0 լ, լիաքարշ, 2007 թ.","$40,000 ","Նոր Հաճըն, 2007 թ., 239,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Mazda 6, 2.5 լ, 2013 թ.","$13,000 ","Նոր Հաճըն, 2013 թ., 126,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Mazda 6, 2.5 լ, 2009 թ., գազ","$8,800 ","Մալաթիա Սեբաստիա, 2009 թ., 126,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:39"
"Kia Forte, 2.0 լ, 2019 թ.","$14,000 ","Շենգավիթ, 2019 թ., 60,463 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Toyota C-HR, 2.0 լ, 2020 թ.","$23,500 ","Շենգավիթ, 2020 թ., 70,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Jeep Compass, 2.4 լ, 2019 թ., գազ","$18,000 ","Դավիթաշեն, 2019 թ., 46,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Mitsubishi Airtrek, 2.4 լ, լիաքարշ, 2001 թ., գազ","$6,800 ","Հրազդան, 2001 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Nissan Rogue, 2.5 լ, 2017 թ.","$14,000 ","Շենգավիթ, 2017 թ., 125,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"VAZ (Lada) 2121 (4x4), 1.7 լ, լիաքարշ, 2017 թ., գազ","$8,500 ","Աբովյան, 2017 թ., 90,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"BMW 3 Series, 1.9 լ, 1999 թ., գազ","$5,900 ","Ավան, 1999 թ., 220,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Mercedes-Benz C-Class, 3.0 լ, լիաքարշ, 2010 թ., գազ","$11,500 ","Շենգավիթ, 2010 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Hyundai Elantra, 2.0 լ, 2020 թ.","$16,800 ","Մալաթիա Սեբաստիա, 2020 թ., 26,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"BMW X5, 3.0 լ, լիաքարշ, 2002 թ., գազ","$7,500 ","Հրազդան, 2002 թ., 222,200 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Nissan Pathfinder, 4.0 լ, լիաքարշ, 2006 թ., գազ","$15,000 ","Շենգավիթ, 2006 թ., 140,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:38"
"Toyota Camry, 2.5 լ, 2017 թ., գազ","$17,900 ","Մալաթիա Սեբաստիա, 2017 թ., 107,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Mercedes-Benz S-Class, 5.5 լ, 2006 թ.","$14,000 ","Քանաքեռ Զեյթուն, 2006 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Toyota Camry, 2.5 լ, 2017 թ.","$21,000 ","Ավան, 2017 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"UAZ (УАЗ) Patriot, 2.7 լ, լիաքարշ, 2016 թ., գազ","$13,800 ","Արաբկիր, 2016 թ., 159,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Lexus GX, 4.7 լ, լիաքարշ, 2006 թ., գազ","$21,500 ","Քանաքեռ Զեյթուն, 2006 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Opel Vectra, 1.8 լ, 1999 թ., գազ","$2,400 ","Շենգավիթ, 1999 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Mercedes-Benz E-Class, 2.0 լ, 1999 թ., գազ","$4,800 ","Էջմիածին, 1999 թ., 407,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Nissan X-Trail, 2.0 լ, 2006 թ., գազ","$7,500 ","Նոր Նորք, 2006 թ., 202,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Jeep Grand Cherokee, 3.6 լ, լիաքարշ, 2020 թ., 2020 թ.","$55,000 ","Շենգավիթ, 2020 թ., 25,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Jeep Grand Cherokee, 3.7 լ, լիաքարշ, 2007 թ., գազ","$9,500 ","Աջափնյակ, 2007 թ., 205,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Toyota Yaris, 1.5 լ, 2018 թ.","$14,500 ","Կենտրոն, 2018 թ., 21,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:37"
"Tesla Model 3, էլեկտրական, 2021 թ.","$25,000 Շտապ!Դիլեր","Նոր Նորք, 2021 թ., 30,000 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:36"
"Ford EcoSport, 2.0 լ, լիաքարշ, 2019 թ.","$16,000 ","Կենտրոն, 2019 թ., 47,200 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:36"
"Mercedes-Benz C-Class, 2.0 լ, 1999 թ., գազ","$5,200 ","Մասիս, 1999 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:36"
"Nissan Rogue, 2.5 լ, լիաքարշ, 2015 թ.","$13,500 ","Դիլիջան, 2015 թ., 137,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"VAZ (Lada) 2121 Niva, 1.7 լ, լիաքարշ, 2021 թ., գազ","$10,500 ","Արարատ, 2021 թ., 13,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Toyota Camry, 2.5 լ, 2013 թ., գազ","$15,900 ","Նորք Մարաշ, 2013 թ., 147,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Nissan Altima, 2.5 լ, 2016 թ.","$11,900 ","Արաբկիր, 2016 թ., 114,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"VAZ (Lada) 2101, 1.2 լ, 1979 թ., գազ","400,000 ֏ ","Հրազդան, 1979 թ., 236,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Toyota Camry, 2.5 լ, 2013 թ., գազ","$15,900 ","Նոր Նորք, 2013 թ., 136,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Infiniti FX35, 3.5 լ, լիաքարշ, 2004 թ., գազ","3,500,000 ֏ ","Հրազդան, 2004 թ., 188,316 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Mercedes-Benz E-Class, 2.8 լ, 1997 թ., գազ","$5,800 ","Էրեբունի, 1997 թ., 400 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Mazda CX-9, 2.5 լ, լիաքարշ, 2020 թ.","$35,500 ","Մասիս, 2020 թ., 29,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Jeep Compass, 2.4 լ, լիաքարշ, 2018 թ.","$18,900 ","Մասիս, 2018 թ., 94,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Kia Optima, 2.4 լ, 2018 թ.","$14,000 ","Կենտրոն, 2018 թ., 74,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Mazda 3, 2.5 լ, 2020 թ.","$17,000 ","Վանաձոր, 2020 թ., 30,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"Toyota Camry, 2.5 լ, լիաքարշ, 2020 թ.","$30,500 ","Կենտրոն, 2020 թ., 45,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:30"
"BMW 3 Series, 1.8 լ, 2002 թ.","$5,700 ","Մալաթիա Սեբաստիա, 2002 թ., 190,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Volkswagen Golf հետչբեք, 1.6 լ, 1994 թ., գազ","500,000 ֏ ","Կենտրոն, 1994 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Toyota Land Cruiser Prado, 2.7 լ, լիաքարշ, 2005 թ.","$20,700 ","Քանաքեռ Զեյթուն, 2005 թ., 164,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Tesla Model 3, էլեկտրական, լիաքարշ, 2021 թ.","3,700,000 ₽ ","Ռուսաստան, 2021 թ., 15,000 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Ford Fusion (North America), 2.5 լ, 2016 թ., գազ","$12,500 ","Արաբկիր, 2016 թ., 156,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"VAZ (Lada) 21099, 1.6 լ, 2001 թ., գազ","$2,100 ","Սոլակ, 2001 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Opel Zafira, 1.6 լ, 2004 թ., գազ","$4,900 ","Ապարան, 2004 թ., 426,150 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Lexus ES, 3.0 լ, 1992 թ., գազ","$6,000 ","Աբովյան, 1992 թ., 133,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Toyota Camry, 2.5 լ, 2021 թ.","$31,500 ","Արաբկիր, 2021 թ., 33,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2019 թ.","$17,800 ","Աջափնյակ, 2019 թ., 40,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Tesla Model 3, էլեկտրական, 2021 թ.","$35,000 ","Արաբկիր, 2021 թ., 15,000 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"VAZ (Lada) Priora, 1.6 լ, 2014 թ., գազ","$5,100 ","Գավառ, 2014 թ., 265,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Mercedes-Benz E-Class, 3.2 լ, դիզել, 2002 թ., գազ","$8,500 ","Արտաշատ, 2002 թ., 166,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:29"
"Toyota Highlander, 3.5 լ, լիաքարշ, 2014 թ.","$32,500 ","Քանաքեռ Զեյթուն, 2014 թ., 145,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Mercedes-Benz W124, 2.0 լ, 1992 թ., գազ","$4,300 ","Վանաձոր, 1992 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Mercedes-Benz E-Class, 2.3 լ, 1996 թ., գազ","$1,000 ","Վանաձոր, 1996 թ., 325,641 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Toyota Corolla, 1.8 լ, 2015 թ., գազ","$13,500 ","Հրազդան, 2015 թ., 110,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Mitsubishi Pajero, 2.3 լ, լիաքարշ, 1993 թ., գազ","$6,000 ","Վանաձոր, 1993 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Opel Vectra, 1.6 լ, 1999 թ., գազ","$4,200 ","Արագած, 1999 թ., 95,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Hyundai Sonata, 2.0 լ, 2018 թ., գազ","$18,500 ","Աբովյան, 2018 թ., 135,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Opel Astra հետչբեք, 1.6 լ, 2001 թ., գազ","$3,700 ","Արթիկ, 2001 թ., 151,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Toyota Camry, 3.5 լ, 2019 թ.","$36,500 ","Քանաքեռ Զեյթուն, 2019 թ., 67,700 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Infiniti M35, 3.5 լ, 2006 թ., գազ","$7,000 ","Արաբկիր, 2006 թ., 175,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Toyota Highlander, 3.5 լ, լիաքարշ, 2019 թ.","$47,700 ","Քանաքեռ Զեյթուն, 2019 թ., 12,800 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Mercedes-Benz E-Class, 2.8 լ, 1999 թ.","$5,500 ","Էրեբունի, 1999 թ., 500,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"Mitsubishi Outlander, 2.5 լ, լիաքարշ, 2022 թ.","$34,000 Շտապ","Նորք Մարաշ, 2022 թ., 4000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:28"
"BMW 3 Series, 3.0 լ, 2005 թ.","$8,000 ","Աջափնյակ, 2005 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Lexus GX, 4.7 լ, լիաքարշ, 2004 թ., գազ","$17,500 ","Մալաթիա Սեբաստիա, 2004 թ., 137,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Kia Optima, 2.4 լ, հիբրիդ, 2012 թ.","$8,000 ","Աջափնյակ, 2012 թ., 120,000 մղոն, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Toyota RAV4, 2.5 լ, լիաքարշ, 2019 թ.","$26,950 Դիլեր","Աջափնյակ, 2019 թ., 37,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mazda CX-30, 2.5 լ, 2020 թ.","$21,500 Դիլեր","Աջափնյակ, 2020 թ., 23,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mazda 6, 2.5 լ, 2018 թ.","$12,400 ","Արաբկիր, 2018 թ., 99,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mercedes-Benz Sprinter Classic, 3.5 լ, 2009 թ., գազ","$15,000 ","Քանաքեռ Զեյթուն, 2009 թ., 240,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Nissan Murano, 3.5 լ, լիաքարշ, 2020 թ.","$21,500 Դիլեր","Աջափնյակ, 2020 թ., 25,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mitsubishi Pajero, 3.5 լ, լիաքարշ, 1999 թ., գազ","$5,200 ","Դիլիջան, 1999 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Hyundai Elantra, 2.0 լ, 2019 թ.","$11,600 ","Քանաքեռ Զեյթուն, 2019 թ., 50,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2020 թ.","$21,500 Դիլեր","Աջափնյակ, 2020 թ., 11,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mercedes-Benz E-Class, 3.2 լ, 1998 թ., գազ","$7,700 ","Մալաթիա Սեբաստիա, 1998 թ., 228,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mazda 3, 2.5 լ, 2019 թ.","$16,950 Դիլեր","Աջափնյակ, 2019 թ., 15,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2018 թ.","$21,300 ","Ավան, 2018 թ., 56,200 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Volkswagen Jetta, 1.4 լ, 2016 թ.","$10,300 ","Էրեբունի, 2016 թ., 10,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2018 թ.","$21,950 Դիլեր","Աջափնյակ, 2018 թ., 32,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"GAZ (ГАЗ) ГАЗель, 2012 թ.","Արմավիր, 2012 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:27","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"DongFeng Rich 6 փիքափ, 2.5 լ, դիզել, լիաքարշ, 2022 թ.","$30,500 ","Կենտրոն, 2022 թ., 215 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Chevrolet Volt հետչբեք, 1.5 լ, հիբրիդ, 2017 թ.","$14,700 ","Ավան, 2017 թ., 176,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"Changan Benni EC/EV հետչբեք, էլեկտրական, 2023 թ.","$11,100 ","Մալաթիա Սեբաստիա, 2023 թ., 10 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:27"
"GAZ (ГАЗ) ГАЗель, 2011 թ., գազ","$6,600 ","Արմավիր, 2011 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"VAZ (Lada) 2107, 1.7 լ, 2010 թ., գազ","$4,400 ","Գյումրի, 2010 թ., 32,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"GAZ (ГАЗ) ГАЗель, 2.7 լ, 2000 թ., գազ","$2,800 ","Դիլիջան, 2000 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
